userName,major,researchExp,industryExp,specialization,toeflScore,program,department,toeflEssay,internExp,greV,greQ,userProfileLink,journalPubs,greA,topperCgpa,termAndYear,confPubs,ugCollege,gmatA,cgpa,gmatQ,cgpaScale,gmatV
Amitd922,Computer Science,0,0,,110,MS,IT,,0,160,165,http://www.edulix.com/unisearch/user.php?uid=220536,0,4,0,Spring - 2016,0,NITK Surathkal,,8.5,,10,
ash2992,(MIS / MSIM / MSIS / MSIT),0,24,MIS,112,MS,Electrical & Electronics,30,0,159,170,http://www.edulix.com/unisearch/user.php?uid=247034,0,3.5,0,Fall - 2015,0,NITK Surathkal,,7.33,,10,
ani007,Electrical and computer science,0,0,wireless/communication/graph theory,,MS,Electrical and electronics,,0,,,http://www.edulix.com/unisearch/user.php?uid=112961,0,,9.25,Fall - 2012,0,NITK Surathkal,,8.91,,10,
vinodhinirr,Civil Engineering,0,0,structures,95,MS,civil,,0,530,750,http://www.edulix.com/unisearch/user.php?uid=11654,0,3,8.96,Fall - 2011,0,NITK Surathkal,,7.61,,10,
timon,Computer Engineering,0,0,Computer Architecture,118,MS,ECE,,0,160,165,http://www.edulix.com/unisearch/user.php?uid=189068,0,5,8.9,Fall - 2013,0,NITK Surathkal,,8.1,,10,
vijaywalker,Computer Science,0,0,AI,116,MS,Computer Engineering,,0,720,800,http://www.edulix.com/unisearch/user.php?uid=7348,0,4.5,9.2,Fall - 2011,0,NITK Surathkal,,7.05,,10,
optimisticapper,Electrical and computer science,0,0,Networks and Communications,104,MS,Electrical and Electronics,,0,410,800,http://www.edulix.com/unisearch/user.php?uid=10112,0,4,8.92,Fall - 2011,0,NITK Surathkal,,8.01,,10,
Rmz7867,Industrial Engineering,0,0,Product Management,112,MS,Mechanical Eng,,0,160,1380,http://www.edulix.com/unisearch/user.php?uid=215780,0,161,9.4,Fall - 2014,0,NITK Surathkal,,8.37,,10,
D333,Computer Engineering,0,0,,111,MS,Computer Engineering,,0,157,159,http://www.edulix.com/unisearch/user.php?uid=137981,0,4,0,Fall - 2013,0,NITK Surathkal,,7.7,,10,
optimistdk,Computer Science,0,0,,110,MS,CSE,,0,520,790,http://www.edulix.com/unisearch/user.php?uid=9854,0,3,0,Fall - 2011,0,NITK Surathkal,,0,,0,
Hammerhand,Electronics and Communication,0,0,System Architecture,113,MS,EEE,,0,620,800,http://www.edulix.com/unisearch/user.php?uid=6755,0,4,9.06,Fall - 2011,0,NITK Surathkal,,8.73,,10,
jimmy231,Civil Engineering,10,0,Structural Engineering,112,MS,Civil Engineering,28,3,155,170,http://www.edulix.com/unisearch/user.php?uid=206536,1,5,9.57,Fall - 2015,3,NITK Surathkal,,9.22,,10,
Catatonic,Mechanical Engineering,2,24,Engine design and testing,112,MS,Mechanical Engineering,,6,159,168,http://www.edulix.com/unisearch/user.php?uid=256747,0,4.5,9.3,Fall - 2015,0,NITK Surathkal,,8.2,,10,
$4R4,Electronics and Communication,0,26,VLSI and Circuit Design,109,MS,ECE,,3,145,168,http://www.edulix.com/unisearch/user.php?uid=247747,0,3,9.76,Fall - 2015,0,NITK Surathkal,,8.97,,10,
Sush,Sustainable enrgy and environment,0,0,,114,MS,Electrical & electronics,,0,580,800,http://www.edulix.com/unisearch/user.php?uid=10368,0,4,8.6,Fall - 2011,0,NITK Surathkal,,6.99,,10,
magpies199,Electrical Engineering,0,0,Power Electronics/Power Systems,115,MS,EEE,,0,156,168,http://www.edulix.com/unisearch/user.php?uid=72766,0,3.5,9.23,Fall - 2013,0,NITK Surathkal,,8.64,,10,
sushanttambare,Computer Science,0,0,Compiler,90,MS,Computer Engineering,,0,440,760,http://www.edulix.com/unisearch/user.php?uid=7594,0,3,81,Fall - 2011,0,NITK Surathkal,,71,,100,
appman,Electrical and Computer Engineering,0,0,VLSI Computer Architecture,101,MS,Electronics & Comm Engg,,0,153,169,http://www.edulix.com/unisearch/user.php?uid=110132,0,3,0,Fall - 2013,0,NITK Surathkal,,7.34,,10,
anandvasudev,Industrial Engineering,0,29,,,MS,Mechanical Engineering,,0,163,167,http://www.edulix.com/unisearch/user.php?uid=241787,0,4,9.5,Fall - 2015,0,NITK Surathkal,,8.92,,10,
sudarshannagesh90,Electronics and Communication,0,0,Signal Processing,108,MS,Electrical and Electronics Engg,25,0,151,164,http://www.edulix.com/unisearch/user.php?uid=149240,0,3.5,9.5,Fall - 2012,0,NITK Surathkal,,8.44,,10,
arunbharadwaj1,Computer Science,0,0,OS & Comp Arch,103,MS,I.T.,,0,600,800,http://www.edulix.com/unisearch/user.php?uid=8614,0,4,9.2,Fall - 2011,0,NITK Surathkal,,7.6,,10,
HawK1729,Electrical and Computer Engineering,0,0,Signal Processing,96,MS,EEE,,0,490,780,http://www.edulix.com/unisearch/user.php?uid=71728,0,3,9,Fall - 2012,0,NITK Surathkal,,7.97,,10,
csm@bajaj,Mechanical Engineering,4,18,Dynamics and Control,109,MS,Mechanical Engineering,24,0,157,163,http://www.edulix.com/unisearch/user.php?uid=240593,0,4,9.6,Fall - 2015,0,NITK Surathkal,,8.41,,10,
uuh91,Mechanical Engineering,13,21,Vibrations acoustics and FSI,116,MS,Mechanical,,1,167,167,http://www.edulix.com/unisearch/user.php?uid=179371,0,5,9.6,Fall - 2015,1,NITK Surathkal,,8.2,,10,
srikpv,MIS,0,0,,115,MS,Computer Science,,0,560,800,http://www.edulix.com/unisearch/user.php?uid=134924,0,4,9,Fall - 2012,0,NITK Surathkal,,7.25,,10,
kishan1890,Electrical and Computer Engineering,0,0,VLSI + DSP,111,MS,ECE,,0,640,800,http://www.edulix.com/unisearch/user.php?uid=117907,0,4,9.7,Fall - 2012,0,NITK Surathkal,,8.78,,10,
sujsrini,Computer Engineering,0,0,Embedded Systems,118,MS,EC,,0,720,800,http://www.edulix.com/unisearch/user.php?uid=154038,0,3.5,0,Fall - 2013,0,NITK Surathkal,,8.23,,10,
narendrak,Electrical Engineering,0,0,VLSI design,88,MS/PhD,ECE(Mtech),,0,147,163,http://www.edulix.com/unisearch/user.php?uid=132876,0,4,8.5,Fall - 2012,0,NITK Surathkal,,7.33,,10,
rakems,Computer Engineering,0,0,,107,MS,EEE,,0,660,800,http://www.edulix.com/unisearch/user.php?uid=5221,0,3.5,9,Fall - 2011,0,NITK Surathkal,,7.17,,10,
madhav.mohan1989,Computer Science,4,38,Systems Programming,98,MS,Information Technology,,4,152,158,http://www.edulix.com/unisearch/user.php?uid=189195,1,3,9.5,Fall - 2015,1,NITK Surathkal,,6.82,,10,
jig,Aerospace Engineering,0,0,Aerodynamics,110,MS,Mechanical Engineering,,0,530,800,http://www.edulix.com/unisearch/user.php?uid=3645,0,3.5,9.63,Fall - 2013,0,NITK Surathkal,,8.34,,10,
vkm,Computer Science,0,0,Networks Systems,116,MS,CS,,0,660,790,http://www.edulix.com/unisearch/user.php?uid=9717,0,4.5,9.13,Fall - 2011,0,NITK Surathkal,,9.13,,10,
bobrock,Electrical and Computer Engineering,0,0,,,MS,0,28,0,150,166,http://www.edulix.com/unisearch/user.php?uid=161581,1,3.5,9.5,Fall - 2013,1,NITK Surathkal,,8.73,,10,
confusedchap,Electronics and Communication,0,0,VLSI,116,MS,ECE,,0,570,800,http://www.edulix.com/unisearch/user.php?uid=8829,0,3.5,9.5,Fall - 2010,0,NITK Surathkal,,8.56,,10,
shastry.varun,Mechanical Engineering,0,0,,,MS,Mechanical Engineering,,0,154,167,http://www.edulix.com/unisearch/user.php?uid=146487,0,3.5,9.5,Fall - 2013,0,NITK Surathkal,,8.7,,10,
vspalanki,Electrical Engineering,0,15,Digital VLSI,111,MS,Electronics & Communications Engg,,2,152,166,http://www.edulix.com/unisearch/user.php?uid=249490,0,4,9.6,Fall - 2015,0,NITK Surathkal,,8.45,,10,
kvsurii,MIS,0,0,,106,MS,Computer Engineering,,0,28,48,http://www.edulix.com/unisearch/user.php?uid=214982,0,5,10,Fall - 2014,0,NITK Surathkal,,7.01,,10,
narahc_87,Computer Science,0,0,General,97,MS,IT,,0,520,790,http://www.edulix.com/unisearch/user.php?uid=10299,0,3.5,9.2,Fall - 2011,0,NITK Surathkal,,7.64,,10,
crayzig,Computer Science,0,0,,112,MS,Computer Science,,0,570,800,http://www.edulix.com/unisearch/user.php?uid=150720,0,3.5,0,Fall - 2012,0,NITK Surathkal,,0,,0,
dillu_hr18,Computer Science,0,0,Wireless Networks,107,MS,Computer Science and Engineering,,0,600,780,http://www.edulix.com/unisearch/user.php?uid=9768,0,4.5,8.8,Fall - 2011,0,NITK Surathkal,,7.52,,100,
monisha3107,Computer Science,0,0,Machine Learning / Computational Biology,110,MS,Information Technology,,0,150,169,http://www.edulix.com/unisearch/user.php?uid=185204,0,3.5,9.2,Fall - 2013,0,NITK Surathkal,,8.92,,10,
poorvirk,Electrical Engineering,0,0,Digital Vlsi computer architecture,118,MS,Electronics and communication,,0,155,165,http://www.edulix.com/unisearch/user.php?uid=201714,0,3.5,9.7,Fall,0,NITK Surathkal,,9.01,,10,
karthikraoa,Electrical and computer science,0,0,Signal Processing,114,PhD,ECE,,0,640,800,http://www.edulix.com/unisearch/user.php?uid=9451,0,3.5,9.4,Fall - 2011,0,NITK Surathkal,,8.7,,10,
pharic,Electrical & Computer Engineering,0,0,Computer Networks,118,MS,ECE,,0,153,169,http://www.edulix.com/unisearch/user.php?uid=134836,0,4,9.5,Fall - 2013,0,NITK Surathkal,,8.84,,10,
sankumar,Aerospace Engineering,9,24,,114,MS,Mechanical,,3,157,164,http://www.edulix.com/unisearch/user.php?uid=156174,0,4,9.5,Fall - 2014,1,NITK Surathkal,,8.86,,10,
rejinisaac,Industrial Engineering,0,0,Mfg Systems,109,MS,Mechanical Engg,,0,630,800,http://www.edulix.com/unisearch/user.php?uid=4808,0,4,9.6,Fall - 2011,0,NITK Surathkal,,8.4,,10,
nish2292,Computer Science,0,0,Vision,107,MS,Computer Science,,0,156,170,http://www.edulix.com/unisearch/user.php?uid=217743,0,4,9.8,Fall - 2014,0,NITK Surathkal,,7.93,,10,
vaibhavb,Computer Science,0,0,,113,MS,ECE,,0,158,165,http://www.edulix.com/unisearch/user.php?uid=189296,0,3.5,9.4,Fall - 2013,0,NITK Surathkal,,8.4,,10,
rakeshvarna,Computer Science,0,0,Distributed Systems/ Networks,112,MS,Computer Science,,0,650,800,http://www.edulix.com/unisearch/user.php?uid=10650,0,4,9.3,Fall - 2011,0,NITK Surathkal,,8.82,,10,
dsaiteja,Computer Science,0,26,Machine Learning Operating Systems,117,MS,Computer Science and Engineering,,2,162,166,http://www.edulix.com/unisearch/user.php?uid=142193,1,4,9.39,Fall - 2015,0,NITK Surathkal,,8.23,,10,
udupa.varun,Mechanical Engineering,0,18,,115,MS,Mechanical Engg,,0,159,168,http://www.edulix.com/unisearch/user.php?uid=172109,0,4,9.6,Fall - 2013,0,NITK Surathkal,,7.6,,10,
anumits,Computer Science,0,0,General CS/ Networks,116,MS,Information Technology,,0,161,169,http://www.edulix.com/unisearch/user.php?uid=204993,0,4,9.18,Fall - 2014,0,NITK Surathkal,,6.46,,10,
