february02,Biotechnology,0,0,bioprocess,116,MS,Biotech,,0,720,800,http://www.edulix.com/unisearch/user.php?uid=142024,0,4,0,Fall - 2012,0,SRM University,,8.71,,10,
August29,Computer Science,0,0,,97,MS,IT,,0,146,152,http://www.edulix.com/unisearch/user.php?uid=190625,0,3,78,Fall - 2013,0,Amravati University,,67,,100,
dec12,Information Technology,0,0,,103,MS,cse,,0,145,157,http://www.edulix.com/unisearch/user.php?uid=143668,0,3,85,Fall - 2012,0,PTU,,80,,100,
hfdteste,Computer Science,0,0,General,113,MS,0,,0,155,161,http://www.edulix.com/unisearch/user.php?uid=160238,0,3.5,88,Fall - 2013,0,Federal University of Itajuba (Brazil),,88,,100,
aug2013,Electronics and Communication,0,0,,97,MS,ECE,,0,143,156,http://www.edulix.com/unisearch/user.php?uid=164289,0,,87,Fall - 2013,0,0,,79,,100,
december1990,MIS,0,0,,,MS,Electrical and Electronics,,0,,,http://www.edulix.com/unisearch/user.php?uid=223715,0,,0,Fall - 2014,0,GITAM,3,3.95,50,4,29
